,Actual Price,Predicted Price,new_host_acceptance_rate,host_is_superhost,room_type,bedrooms,beds,number_of_reviews,availability_365,neighbourhood_cleansed,neighbourhood_group_cleansed,id
621,230,191,31,f,Entire home/apt,1,2,0,347,Bukit Merah,Central Region,45626850
622,206,103,65,f,Private room,1,1,1,1,Rochor,Central Region,43737197
623,120,181,61,f,Entire home/apt,1,0,0,117,Kallang,Central Region,51524494
624,198,138,99,f,Private room,1,1,120,363,Downtown Core,Central Region,42079535
625,74,98,0,f,Private room,1,1,0,358,Toa Payoh,Central Region,22133845
626,195,222,44,f,Entire home/apt,1,1,0,91,River Valley,Central Region,53027857
627,148,187,89,t,Entire home/apt,1,1,0,0,Downtown Core,Central Region,40712363
628,200,159,84,t,Entire home/apt,1,2,7,365,Downtown Core,Central Region,24874562
629,300,97,65,f,Private room,1,1,4,0,Outram,Central Region,19184013
630,98,190,7,f,Entire home/apt,1,1,0,153,Novena,Central Region,41355587
631,119,138,70,f,Private room,1,1,72,358,Downtown Core,Central Region,747813
632,35,166,0,f,Shared room,1,1,0,348,Bukit Merah,Central Region,40597586
633,150,254,0,f,Entire home/apt,2,2,0,319,Downtown Core,Central Region,18378142
634,96,144,85,t,Entire home/apt,1,1,205,62,Rochor,Central Region,5376182
635,80,107,0,t,Private room,0,2,0,79,Yishun,North Region,48688017
636,40,82,0,f,Private room,1,1,50,26,Bedok,East Region,17949590
637,150,161,100,t,Entire home/apt,0,1,0,76,Outram,Central Region,39121505
638,201,263,0,f,Entire home/apt,2,3,4,345,Outram,Central Region,10715256
639,80,137,0,f,Private room,1,0,0,90,Yishun,North Region,42594831
640,289,110,65,f,Hotel room,1,6,1,0,Outram,Central Region,19881239
641,432,476,30,f,Entire home/apt,2,2,0,364,Rochor,Central Region,52945594
642,980,245,100,f,Entire home/apt,4,5,0,271,Geylang,Central Region,42660661
643,300,187,31,f,Entire home/apt,1,1,1,86,Novena,Central Region,53175494
644,38,58,91,t,Private room,1,1,2,329,Geylang,Central Region,26290281
