id,new_host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,bedrooms,beds,number_of_reviews,availability_365,price
23094299.0,91.0,t,Orchard,Central Region,1.30282,103.83225,Entire home/apt,2.0,3.0,7.0,165.0,530.0
23097015.0,97.0,f,Geylang,Central Region,1.3147,103.88163,Private room,1.0,1.0,5.0,328.0,39.0
23108965.0,91.0,t,Outram,Central Region,1.28449,103.84294,Private room,1.0,1.0,0.0,359.0,69.0
23169041.0,75.0,f,Kallang,Central Region,1.31388,103.85292,Private room,1.0,2.0,51.0,336.0,61.0
23211763.0,41.0,f,Newton,Central Region,1.31237,103.83167,Private room,1.0,1.0,1.0,324.0,50.0
23224067.0,0.0,f,Queenstown,Central Region,1.28994,103.77675,Private room,0.0,1.0,0.0,0.0,100.0
23245969.0,41.0,f,Rochor,Central Region,1.30245,103.84828,Private room,1.0,1.0,0.0,76.0,55.0
23258478.0,0.0,f,Novena,Central Region,1.32158,103.85256,Private room,1.0,1.0,0.0,364.0,500.0
23264528.0,65.0,f,Clementi,West Region,1.31112,103.77138,Private room,1.0,1.0,3.0,0.0,45.0
23277237.0,75.0,f,Kallang,Central Region,1.3145,103.85392,Private room,1.0,2.0,50.0,340.0,60.0
23277415.0,84.0,t,Outram,Central Region,1.28201,103.84464,Entire home/apt,0.0,1.0,38.0,365.0,120.0
23279931.0,84.0,t,Downtown Core,Central Region,1.29586,103.85389,Entire home/apt,1.0,1.0,2.0,301.0,100.0
23285759.0,41.0,f,Rochor,Central Region,1.30371,103.8471,Private room,1.0,1.0,0.0,334.0,68.0
23315012.0,84.0,t,Downtown Core,Central Region,1.28787,103.85032,Entire home/apt,0.0,1.0,24.0,253.0,135.0
23318905.0,36.0,t,Bukit Timah,Central Region,1.31084,103.79765,Private room,1.0,1.0,0.0,364.0,81.0
23329869.0,96.0,f,Singapore River,Central Region,1.28798,103.84902,Hotel room,0.0,1.0,3.0,318.0,164.0
23345095.0,0.0,f,Tanglin,Central Region,1.2955,103.82924,Private room,1.0,1.0,0.0,56.0,80.0
23360633.0,36.0,t,Bukit Timah,Central Region,1.31072,103.79624,Private room,1.0,1.0,0.0,364.0,79.0
23361035.0,36.0,t,Bukit Timah,Central Region,1.31078,103.79702,Private room,1.0,1.0,1.0,361.0,64.0
23362375.0,36.0,t,Newton,Central Region,1.30372,103.83913,Private room,1.0,1.0,0.0,364.0,64.0
23362544.0,36.0,t,Newton,Central Region,1.30562,103.84048,Entire home/apt,1.0,2.0,10.0,365.0,82.0
