,Actual Price,Predicted Price,new_host_acceptance_rate,host_is_superhost,room_type,bedrooms,beds,number_of_reviews,availability_365,neighbourhood_cleansed,neighbourhood_group_cleansed,id,latitude,longitude
230,154.0,194.0,84.0,t,Private room,0.0,1.0,0.0,354.0,Singapore River,Central Region,51660773.0,1.28923,103.84871
231,139.0,109.0,77.0,f,Private room,1.0,1.0,0.0,365.0,Queenstown,Central Region,41116039.0,1.28098,103.78765
232,55.0,57.0,0.0,f,Private room,1.0,1.0,0.0,0.0,Ang Mo Kio,North-East Region,23636649.0,1.37432,103.83718
233,480.0,322.0,100.0,t,Entire home/apt,2.0,3.0,66.0,106.0,Orchard,Central Region,31851838.0,1.30458,103.83404
234,156.0,168.0,96.0,f,Private room,0.0,2.0,0.0,355.0,Downtown Core,Central Region,46383430.0,1.29749,103.85674
235,450.0,189.0,84.0,t,Private room,0.0,1.0,1.0,356.0,Singapore River,Central Region,52062197.0,1.28717,103.84836
236,450.0,275.0,31.0,f,Entire home/apt,1.0,1.0,0.0,364.0,Tanglin,Central Region,37299191.0,1.29409,103.82826
237,275.0,183.0,30.0,f,Entire home/apt,0.0,1.0,0.0,364.0,Bukit Merah,Central Region,47778000.0,1.2745,103.83451
238,100.0,64.0,0.0,f,Private room,1.0,1.0,32.0,303.0,Jurong West,West Region,17736530.0,1.33727,103.69013
239,70.0,62.0,100.0,f,Private room,1.0,1.0,11.0,356.0,Hougang,North-East Region,31948394.0,1.37573,103.90272
240,47.0,30.0,38.0,f,Hotel room,1.0,16.0,59.0,0.0,Kallang,Central Region,10040969.0,1.31114,103.86054
241,127.0,101.0,65.0,t,Private room,1.0,1.0,7.0,143.0,Rochor,Central Region,44283744.0,1.30214,103.85255
242,33.0,105.0,100.0,f,Private room,1.0,1.0,1.0,364.0,Pasir Ris,East Region,8681954.0,1.37913,103.96415
243,143.0,92.0,71.0,f,Private room,1.0,1.0,1.0,358.0,Bukit Merah,Central Region,40748133.0,1.27483,103.8347
244,64.0,65.0,65.0,f,Private room,1.0,1.0,81.0,0.0,Geylang,Central Region,4990392.0,1.31149,103.88161
245,81.0,96.0,56.0,t,Private room,1.0,1.0,28.0,48.0,Novena,Central Region,29614706.0,1.31572,103.83951
246,108.0,97.0,97.0,f,Private room,1.0,1.0,13.0,15.0,River Valley,Central Region,39334937.0,1.29682,103.83997
247,125.0,108.0,100.0,t,Private room,1.0,1.0,17.0,364.0,Rochor,Central Region,43408005.0,1.30469,103.85574
248,57.0,71.0,65.0,f,Private room,1.0,1.0,7.0,364.0,Hougang,North-East Region,13088479.0,1.34887,103.88034
249,49.0,55.0,97.0,f,Private room,1.0,1.0,1.0,328.0,Kallang,Central Region,8398148.0,1.30755,103.86353
250,130.0,101.0,13.0,f,Private room,1.0,2.0,7.0,359.0,Museum,Central Region,24764493.0,1.29656,103.85157
251,90.0,106.0,80.0,t,Private room,1.0,0.0,0.0,232.0,Downtown Core,Central Region,47774321.0,1.28152,103.85391
252,47.0,58.0,97.0,f,Private room,1.0,1.0,1.0,0.0,Kallang,Central Region,15406706.0,1.31053,103.86075
253,135.0,168.0,99.0,t,Entire home/apt,1.0,1.0,5.0,0.0,Rochor,Central Region,41033189.0,1.29918,103.85212
254,70.0,242.0,0.0,f,Entire home/apt,2.0,2.0,0.0,365.0,Hougang,North-East Region,35018771.0,1.35432,103.88926
255,235.0,190.0,30.0,f,Entire home/apt,0.0,1.0,0.0,346.0,Novena,Central Region,52910692.0,1.32606,103.84689
256,245.0,222.0,2.0,f,Entire home/apt,1.0,2.0,1.0,359.0,Kallang,Central Region,15634389.0,1.31165,103.86019
257,639.0,403.0,0.0,f,Entire home/apt,3.0,4.0,0.0,311.0,River Valley,Central Region,46475821.0,1.29197,103.84052
258,99.0,170.0,0.0,f,Entire home/apt,1.0,1.0,0.0,90.0,Sembawang,North Region,18978986.0,1.44328,103.82434
259,147.0,151.0,90.0,f,Hotel room,1.0,1.0,33.0,78.0,Outram,Central Region,25816812.0,1.28368,103.8451
260,138.0,232.0,30.0,f,Entire home/apt,1.0,1.0,0.0,364.0,Kallang,Central Region,50742155.0,1.31189,103.85647
261,80.0,142.0,61.0,f,Entire home/apt,0.0,1.0,0.0,328.0,Kallang,Central Region,52709361.0,1.31641,103.85723
262,142.0,208.0,99.0,f,Private room,0.0,2.0,6.0,365.0,Rochor,Central Region,48033351.0,1.3062,103.85596
263,68.0,103.0,0.0,f,Private room,1.0,1.0,0.0,365.0,Bukit Timah,Central Region,43406519.0,1.34126,103.76739
264,280.0,434.0,41.0,f,Entire home/apt,2.0,3.0,0.0,364.0,Novena,Central Region,40478454.0,1.32827,103.84745
265,18.0,73.0,0.0,f,Shared room,1.0,1.0,3.0,334.0,Queenstown,Central Region,6190850.0,1.29261,103.7685
266,27.0,31.0,50.0,f,Hotel room,1.0,10.0,36.0,300.0,Outram,Central Region,16964241.0,1.28299,103.84457
267,168.0,177.0,90.0,f,Entire home/apt,1.0,1.0,13.0,41.0,Outram,Central Region,25981021.0,1.28296,103.84707
268,112.0,88.0,95.0,f,Private room,1.0,1.0,3.0,303.0,River Valley,Central Region,51613814.0,1.2951,103.83888
269,214.0,85.0,77.0,f,Private room,1.0,1.0,3.0,345.0,Queenstown,Central Region,24447655.0,1.28116,103.78732
270,500.0,75.0,65.0,f,Private room,2.0,1.0,25.0,91.0,Geylang,Central Region,21937326.0,1.32013,103.88114
271,144.0,109.0,100.0,t,Private room,1.0,1.0,25.0,364.0,Rochor,Central Region,43379899.0,1.30498,103.85591
272,160.0,88.0,41.0,f,Private room,1.0,1.0,0.0,364.0,Clementi,West Region,20658143.0,1.31439,103.75904
273,35.0,107.0,100.0,t,Private room,2.0,2.0,1.0,335.0,Sengkang,North-East Region,43089999.0,1.3958,103.87773
274,194.0,328.0,41.0,f,Entire home/apt,2.0,2.0,0.0,364.0,Queenstown,Central Region,43129915.0,1.29698,103.80473
275,662.0,370.0,91.0,t,Entire home/apt,2.0,3.0,20.0,166.0,Orchard,Central Region,19595827.0,1.30435,103.83382
276,168.0,104.0,0.0,f,Private room,1.0,1.0,0.0,179.0,Novena,Central Region,28789540.0,1.32883,103.84856
277,64.0,66.0,65.0,f,Private room,1.0,1.0,37.0,0.0,Geylang,Central Region,24927780.0,1.31078,103.88135
278,34.0,110.0,100.0,f,Hotel room,1.0,1.0,0.0,0.0,Rochor,Central Region,33604867.0,1.3022,103.85818
279,280.0,1396.0,0.0,f,Entire home/apt,4.0,1.0,0.0,0.0,Tanglin,Central Region,49863210.0,1.31477,103.82442
280,480.0,310.0,30.0,f,Entire home/apt,2.0,1.0,0.0,364.0,Novena,Central Region,46684152.0,1.32604,103.84534
281,57.0,98.0,0.0,f,Private room,1.0,1.0,0.0,365.0,Downtown Core,Central Region,21049838.0,1.28484,103.85875
282,400.0,275.0,31.0,f,Entire home/apt,1.0,1.0,0.0,364.0,Tanglin,Central Region,44145748.0,1.31232,103.82459
283,151.0,135.0,89.0,t,Entire home/apt,1.0,1.0,0.0,0.0,Downtown Core,Central Region,43344197.0,1.27459,103.84437
284,150.0,75.0,65.0,f,Private room,1.0,1.0,1.0,364.0,Ang Mo Kio,North-East Region,19774868.0,1.37579,103.84928
285,253.0,178.0,13.0,f,Private room,3.0,3.0,0.0,365.0,Bedok,East Region,24001052.0,1.30817,103.91315
286,35.0,82.0,0.0,f,Private room,1.0,1.0,0.0,185.0,Jurong West,West Region,27346264.0,1.34864,103.69553
287,288.0,165.0,0.0,f,Entire home/apt,1.0,2.0,0.0,365.0,River Valley,Central Region,10341515.0,1.29548,103.83396
